"Libellé";"Nuitées dans l'hôtellerie - Résidents - Départements d'outre-mer";"Codes";"Nuitées dans l'hôtellerie - Résidents - Île-de-France";"Codes";"Nuitées dans l'hôtellerie - Résidents - Centre-Val de Loire";"Codes";"Nuitées dans l'hôtellerie - Résidents - Bourgogne-Franche-Comté";"Codes";"Nuitées dans l'hôtellerie - Résidents - Normandie";"Codes";"Nuitées dans l'hôtellerie - Résidents - Hauts-de-France";"Codes";"Nuitées dans l'hôtellerie - Résidents - Grand Est";"Codes";"Nuitées dans l'hôtellerie - Résidents - Pays de la Loire";"Codes";"Nuitées dans l'hôtellerie - Résidents - Bretagne";"Codes";"Nuitées dans l'hôtellerie - Résidents - Nouvelle-Aquitaine";"Codes";"Nuitées dans l'hôtellerie - Résidents - Occitanie";"Codes";"Nuitées dans l'hôtellerie - Résidents - Auvergne-Rhône-Alpes";"Codes";"Nuitées dans l'hôtellerie - Résidents - Provence-Alpes-Côte d'Azur";"Codes";"Nuitées dans l'hôtellerie - Résidents - Corse";"Codes"
"idBank";"010599697";"";"010598554";"";"010598553";"";"010598619";"";"010598625";"";"010598631";"";"010598636";"";"010598555";"";"010598552";"";"010598642";"";"010598648";"";"010598654";"";"010598556";"";"010598550";""
"Dernière mise à jour";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";"";"12/10/2023 09:55";""
"Période";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017-10";"304.5";"A";"2843";"A";"398";"A";"449";"A";"524";"A";"593";"A";"841";"A";"494";"A";"551";"A";"1157";"A";"1046";"A";"1321";"A";"1123";"A";"179.0";"A"
"2017-09";"206.73";"A";"2604";"A";"429";"A";"495";"A";"561";"A";"604";"A";"866";"A";"600";"A";"657";"A";"1285";"A";"1232";"A";"1464";"A";"1328";"A";"397.0";"A"
"2017-08";"335.92";"A";"2089";"A";"493";"A";"545";"A";"670";"A";"549";"A";"874";"A";"740";"A";"876";"A";"1848";"A";"1770";"A";"1937";"A";"1941";"A";"471.0";"A"
"2017-07";"294.06";"A";"2601";"A";"505";"A";"557";"A";"616";"A";"580";"A";"859";"A";"666";"A";"708";"A";"1525";"A";"1416";"A";"1825";"A";"1651";"A";"386.0";"A"
"2017-06";"204.9";"A";"2734";"A";"464";"A";"499";"A";"578";"A";"608";"A";"859";"A";"637";"A";"649";"A";"1247";"A";"1155";"A";"1516";"A";"1308";"A";"355.0";"A"
"2017-05";"251.88";"A";"2628";"A";"439";"A";"472";"A";"576";"A";"592";"A";"829";"A";"552";"A";"622";"A";"1189";"A";"1075";"A";"1311";"A";"1243";"A";"296.0";"A"
"2017-04";"336.87";"A";"2605";"A";"423";"A";"435";"A";"581";"A";"604";"A";"763";"A";"561";"A";"602";"A";"1211";"A";"1027";"A";"1346";"A";"1226";"A";"162.0";"A"
"2017-03";"348.08";"A";"2730";"A";"329";"A";"391";"A";"444";"A";"545";"A";"691";"A";"446";"A";"479";"A";"921";"A";"771";"A";"1572";"A";"978";"A";"47.0";"A"
"2017-02";"319.45";"A";"2240";"A";"266";"A";"364";"A";"379";"A";"450";"A";"616";"A";"364";"A";"384";"A";"785";"A";"682";"A";"1696";"A";"860";"A";"33.0";"A"
"2017-01";"329.16";"A";"2516";"A";"245";"A";"310";"A";"319";"A";"449";"A";"550";"A";"351";"A";"333";"A";"620";"A";"571";"A";"1342";"A";"733";"A";"26.0";"A"
"2016-12";"315.7";"A";"2691";"A";"278";"A";"334";"A";"372";"A";"493";"A";"894";"A";"374";"A";"378";"A";"753";"A";"641";"A";"1289";"A";"755";"A";"32.0";"A"
"2016-11";"288.74";"A";"2616";"A";"302";"A";"376";"A";"406";"A";"524";"A";"709";"A";"423";"A";"408";"A";"827";"A";"688";"A";"1057";"A";"753";"A";"39.0";"A"
"2016-10";"268.5";"A";"2758";"A";"420";"A";"451";"A";"556";"A";"616";"A";"849";"A";"515";"A";"574";"A";"1222";"A";"1052";"A";"1348";"A";"1071";"A";"168.0";"A"
"2016-09";"156.98";"A";"2479";"A";"425";"A";"473";"A";"558";"A";"588";"A";"827";"A";"595";"A";"661";"A";"1310";"A";"1195";"A";"1459";"A";"1263";"A";"371.0";"A"
"2016-08";"293.43";"A";"1897";"A";"496";"A";"531";"A";"670";"A";"546";"A";"825";"A";"747";"A";"850";"A";"1846";"A";"1813";"A";"1920";"A";"1864";"A";"442.0";"A"
"2016-07";"269.3";"A";"2321";"A";"493";"A";"535";"A";"619";"A";"569";"A";"813";"A";"690";"A";"700";"A";"1521";"A";"1450";"A";"1798";"A";"1571";"A";"362.0";"A"
"2016-06";"171.23";"A";"2534";"A";"446";"A";"480";"A";"532";"A";"589";"A";"834";"A";"610";"A";"616";"A";"1184";"A";"1175";"A";"1465";"A";"1264";"A";"337.0";"A"
"2016-05";"244.38";"A";"2539";"A";"447";"A";"485";"A";"568";"A";"630";"A";"827";"A";"565";"A";"620";"A";"1210";"A";"1103";"A";"1397";"A";"1268";"A";"262.0";"A"
"2016-04";"248.25";"A";"2415";"A";"394";"A";"407";"A";"490";"A";"576";"A";"719";"A";"513";"A";"538";"A";"1073";"A";"972";"A";"1331";"A";"1117";"A";"135.0";"A"
"2016-03";"295.99";"A";"2536";"A";"346";"A";"395";"A";"447";"A";"560";"A";"701";"A";"454";"A";"472";"A";"902";"A";"789";"A";"1684";"A";"999";"A";"43.0";"A"
"2016-02";"285.44";"A";"2140";"A";"272";"A";"364";"A";"363";"A";"480";"A";"616";"A";"371";"A";"386";"A";"740";"A";"686";"A";"1720";"A";"891";"A";"29.0";"A"
"2016-01";"290.38";"A";"2286";"A";"247";"A";"295";"A";"311";"A";"470";"A";"534";"A";"339";"A";"329";"A";"612";"A";"565";"A";"1314";"A";"704";"A";"23.0";"A"
"2015-12";"303.86";"A";"2380";"A";"280";"A";"342";"A";"360";"A";"511";"A";"868";"A";"355";"A";"369";"A";"729";"A";"628";"A";"1250";"A";"681";"A";"26.0";"A"
"2015-11";"258.92";"A";"2333";"A";"276";"A";"342";"A";"368";"A";"529";"A";"653";"A";"376";"A";"384";"A";"758";"A";"645";"A";"970";"A";"693";"A";"35.0";"A"
"2015-10";"232.56";"A";"2711";"A";"406";"A";"442";"A";"498";"A";"615";"A";"800";"A";"472";"A";"528";"A";"1129";"A";"995";"A";"1240";"A";"1032";"A";"162.0";"A"
"2015-09";"150.0";"A";"2539";"A";"427";"A";"481";"A";"532";"A";"618";"A";"837";"A";"563";"A";"653";"A";"1280";"A";"1195";"A";"1418";"A";"1281";"A";"357.0";"A"
"2015-08";"272.78";"A";"2109";"A";"462";"A";"512";"A";"637";"A";"538";"A";"824";"A";"713";"A";"845";"A";"1800";"A";"1753";"A";"1846";"A";"1868";"A";"450.0";"A"
"2015-07";"221.65";"A";"2363";"A";"474";"A";"506";"A";"599";"A";"574";"A";"789";"A";"644";"A";"691";"A";"1441";"A";"1430";"A";"1713";"A";"1553";"A";"339.0";"A"
